format=1 tracks=6 division=480

BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Text type 6: "Start"
BA    1   CR         0   TR  1   CH 16   Text type 3: "Acoustic Bass"
BA    1   CR         0   TR  1   CH  1   NT  A---       59/120   von=105   voff=105
BA    1   CR         0   TR  2   CH 16   Text type 3: "Percussive Kit 1"
BA    1   CR         0   TR  3   CH 16   Text type 3: "Grand Piano"
BA    1   CR         0   TR  3   CH  1   ST &B0 &40 &00
BA    1   CR         0   TR  4   CH 16   Text type 3: "Electro Producer Pack"
BA    1   CR         0   TR  5   CH 16   Text type 3: "Jazz Organ"
BA    1   CR         0   TR  5   CH  1   ST &B0 &40 &00
BA    1   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA    1   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA    1   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA    1   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA    1   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA    1   CR     3+3/4   TR  1   CH  1   NT  E--       119/480   von=101   voff=101

BA    2   CR       1/4   TR  1   CH  1   NT  A--      3+61/480   von=103   voff=103

BA    3   CR         0   TR  1   CH  1   NT  A---       59/120   von=105   voff=105
BA    3   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA    3   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA    3   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA    3   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA    3   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA    3   CR     3+3/4   TR  1   CH  1   NT  E--          5/16   von=101   voff=101

BA    5   CR         0   TR  1   CH  1   NT  A---       59/120   von=105   voff=105
BA    5   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA    5   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA    5   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA    5   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA    5   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA    5   CR     3+3/4   TR  1   CH  1   NT  E--       119/480   von=101   voff=101

BA    6   CR       1/4   TR  1   CH  1   NT  A--      3+61/480   von=103   voff=103

